COD_DISCIPLINA;SGL_DISCIPLINA;NOM_DISCIPLINA;DSC_TPO_CHORARIA;VAL_CARGA_HORARIA;DSC_EMENTA
49392;104014021;Enfermagem na Clínica Cirúrgica;Teórica;80;"Estudo das alterações da saúde do adulto submetido a procedimentos cirúrgicos. Avaliação e planejamento da assistência de enfermagem no pré, per e pós-operatório.""""63469"
63469;101043009;Fisiologia Médica;Teórica;160;Estudo das funções normais e metabolismo energético dos sistemas humanos. A função dos diversos sistemas e aparelhos do corpo humano. Conhecer as funções cardiovasculares, digestiva, respiratória e endocrinológica. A função encefálica e intelectual. 
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
86693;800000246;Sociologia;Teórica;40;"Desafios da contemporaneidade; Pensamento moderno; A sociedade moderna; Processo histórico do pensamento sociológico; O positivismo; Émile Durkheim e o fato social; O materialismo histórico e dialético de Karl Marx; A sociologia compreensiva de Max W"
85501;312000168;Análise de Cenários Econômicos;Ensino a Distância;40;"Indicadores econômicos (juros, inflação, câmbio, PIB, taxa de emprego/desemprego). Políticas Macroeconômicas (fiscal, monetária, cambial, comercial).""""86740"
54668;100032027;Psicologia, Trabalho e Organizações;Teórica;80;"Conhecimento teórico-prático sobre o histórico, origem e evolução da concepção do trabalho; visão crítica e o papel do psicólogo; cultura e subjetividade; gestão, mudança e transformação social nas organizações; relações de produção e organização do "
52949;101043001;Língua Brasileira de Sinais;Teórica;40;A possibilidade  de comunicação entre o profissional de saúde e o paciente surdo mudo ou com grave comprometimento de comunicação verbal. Em regiões de população de grande densidade populacional este recurso e importante. Atende desta forma o decreto
88993;502053020;Projetos em 3D;Prática;80;Etapas da produção tridimensional. Integração da tecnologia tridimensional a outras tecnologias digitais e produção de peças tridimensionais aplicadas a diferentes contextos. Computação gráfica tridimensional.Tópicos avançados da modelagem, texturiz
70469;DIAGIMAG-80;Diagnóstico Por Imagem;Prática;40;Estudo da história e dos princípios físicos da radiologia e da ultra-sonografia. Descrição da realização de exames radiográficos e ultra-sonográficos dos diversos sistemas. Nomenclatura radiográfica e ultra-sonográfica. Princípios da ultrassonografia
64534;312000087;Empreendedorismo;Ensino a Distância;80;"Conceitos básicos de empreendedorismo; o empreendedorismo e o de-senvolvimento econômico; tipos de empreendedorismo; ideia x oportuni-dade, perfil empreendedor e inovação; metodologias empreendedoras (Canvas e Plano de negócio); empreendedorismo soci"
64104;312000068;Empreendedorismo;Prática;20;"Conceitos básicos de empreendedorismo; o empreendedorismo e o de-senvolvimento econômico; tipos de empreendedorismo; ideia x oportuni-dade, perfil empreendedor e inovação; metodologias empreendedoras (Canvas e Plano de negócio); empreendedorismo soci"
59071;400000100;Vibrações Mecânicas;Teórica;80;"Conceitos de vibrações mecânicas, movimento harmônico simples, vibrações livres, princípio de conservação de energia, vibrações forçadas, vibrações amortecidas, análise de vibrações. Análise cinemática de corpos rígidos e de mecanismos.""""79481"
83919;808000326;Trabalho Interdisciplinar 4B;Estudos Independentes;40;Metodologia da pesquisa científica. Regulamento dos Projetos Aplicados e da Prática de Estudos Independentes. Decisões deeconomia aplicada. Decisões de contabilidade e controladoria. Decisões de comportamento organizacional e ética. Processosde lin
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
49613;301076017;Movimentos Sociais e Mobilização Social;Teórica;80;Fundamentos teóricos sobre as classes e os movimentos sociais. Organização e luta das classes sociais e a natureza dos movimentos sociais. Manifestação de ações coletivas como resultado de processos sociais diversificados. A mobilização como instrume
89037;408060041;Estatística Aplicada;Teórica;40;"Processos de amostragem, ANOVA, Análise Fatorial, Planejamento de Experimentos, Controle Estatístico de Processos.""""63484"
63484;101043024;Anatomia Patológica;Teórica;120;Estudo teórico e prático das alterações macroscópicas e microscópicas das principais doenças dos sistemas orgânicos humano (cardiovascular, respiratório, digestivo, musculo esquelético, endócrino). Evolução natural das doenças em peças com evidência 
84411;304055004;Anatomia Humana;Teórica;40;Estudo teórico-prático, macroscópico e morfofuncional dos planos anatômicos e dos órgãos e sistemas do corpo humano. Compreensão dos sistemas tegumentar, musculoesqueléticos, cardiocirculatório, respiratório, digestório, geniturinário, reprodutor e n
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
67591;312000091;Fundamentos de Recursos Humanos;Ensino a Distância;80;"Evolução histórica da gestão de pessoas no Brasil e sua relação com os principaisacontecimentos de cada época; Conceitos e principais termos em gestão depessoas, Desafios do gestor na contemporaneidade; Comportamento e ética; A áreacomo centro de "
63485;101043025;Medicina Legal;Teórica;40;Estudo da Medicina Legal como especialidade médica. Estudo das perícias médico-legais e dos processos de identificação e esclarecimento diagnóstico. A verificação do óbito (legislação especifica e importância em saúde).  Laudo pericial e sua relação 
77443;ANESTVET-80;Anestesiologia Veterinária;Prática;40;Avaliação pré-anestésica. Técnicas de anestesia local. Anestesia geral barbitúrica e não barbitúrica. Anestesia geral inalatória. Neuroleptoanalgesia. Anestesia dissociativa. Sedação e uso de miorrelaxantes. Técnicas de monitoração da anestesia, empr
51268;400013073;Conciliação, Mediação e Arbitragem;Teórica;40;Estudo da subjetividade humana e sua diversidade. Análise das relações entre a subjetividade, à norma e a justiça. Compreensão dos fatores envolvidos no processo de adoecimento e saúde mental. Apresentação de fundamentos e conceitos no campo da inter
78864;CLMEDCPQA-120;Clínica Médica e Cirúrgica de Pequenos Animais;Teórica;80;Compreende a verificação dos sintomas e das alterações funcionais ou metabólicas que acometem os pequenos animais. A disciplina prática permitirá acompanhar a etiologia, a evolução, prognóstico, tratamento e profilaxia das enfermidades que acometem e
66711;100026025;Lubrificação e Manutenção Industrial;Teórica;40;"Princípios de Lubrificação. Lubrificantes, manuseio e estocagem. Graxas lubrificantes. Lubrificação de elementos de máquinas e equipamentos. Manutenção Industrial. Segurança do Trabalho e Normas Regulamentadoras.""""62326"
89529;608004005;Equações Diferenciais;Teórica;80;"Equação diferencial ordinária de primeira ordem; método dos fatores integrantes, equações separáveis. Equações lineares de segunda ordem; equações homogêneas, independência linear e Wronskiano, raízes complexas, raízes repetidas, equações não homogên"
64038;312000008;Estatística;Ensino a Distância;80;Introdução ao estudo da Estatística, conceitos dos tipos de variáveis, tipos de dados, notação por índice, metodologia de pesquisa estatística, técnicas de amostragem, análise de fenômenos via representação tabular e gráfica, gráficos estatísticoscon
65763;306007046;Colorimetria;Prática;40;Abordagem dos princípios científicos da colorimetria e seus processos, produtos ecolorações, bem como seu mecanismo de ação na fibra capilar. Utilizando as diversas técnicas de aplicação enfatizando a segurança no trabalho, a saúde dos cabelos 
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
63480;101043020;Patologia;Prática;40;Estudo das causas, mecanismos e lesões associadas aos processos patológicos básicos. Estudo das alterações celulares no processo patológico. Apoptose e morte celular na doença. Os tecidos no processo patológico. Caracterização macroscópica e microscó
46378;400013052;Direito Civil VII;Teórica;80;"Instituições de Direito das Famílias à luz do ordenamento jurídico plural.""""65554"
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
17275;4344058;Equações Diferenciais;Teórica;80;"Equações diferenciais ordinárias de 1ª e 2ª ordens. Equações lineares homogêneas e não homogêneas. Solução em séries de potência. Sistemas de equações diferenciais. Transformada de Laplace e sua aplicação à resolução de equações diferenciais.""""487"
49523;104000097;Legislação Jornalística;Teórica;40;"Leis, costumes e tradição: apontamentos conceituais. Legislação brasileira aplicável à comunicação social e ao jornalismo.   Direitos autorais.  Capital estrangeiro em empresas de comunicação brasileiras. Radiodifusão comunitária.""""66725"
86125;106026060;Usinagem;Prática;40;Fundamentos e processos de Usinagem. Escolha de ferramental e das condições de usinagem.  Processo de furação. Processo de fresamento. Escolha das condições de usinagem, acabamento de superfícies fresadas, processos abrasivos de usinagem. CNC: tipos 
63490;101043030;Patologia Clínica II;Prática;60;As analises clinicas em pacientes traumatizados e grupos especiais (idosos, imunodeprimidos, oncológicos). O exame hematológico nas doenças reumáticas. Diagnóstico de quadros infecciosos por exames complementares. Equilíbrio acidobásico e sua importâ
66701;100026015;Materiais de Construção Mecânica;Teórica;40;Cinética da transformação de fase: nucleação, crescimento e precipitação. Tratamentos térmicos e termoquímicos dos aços. Tratamentos isotérmicos e termomecânicos. Seleção e especificação dos materiais ferrosos, não ferrosos e não metálicos. Comportam
66693;100026007;Física Mecânica;Teórica;80;"Cinemática da partícula. Leis de Newton. Estática e dinâmica da partícula. Trabalho e energia. Conservação da energia. Movimento linear e sua conservação. Colisões. Momento angular da partícula e de sistemas de partículas. Rotação de corpos rígidos."""
59481;502018033;Trabalho Interdisciplinar Dirigido V;Estudos Independentes;40;Disciplina destinada ao exercício da interdisciplinaridade com geração de conhecimentos e produtos com forte visão científica. Os produtos didáticos pedagógicos da disciplina contemplam elaboração de dissertação com temática relacionada à formação do
63497;101043037;Saúde Pública;Teórica;40;Estudo das políticas de Saúde publica no Brasil nas ultimas cinco décadas.  Análise e discussão da evolução do Sistema de Saúde no Brasil, quanto aos aspectos históricos, políticos, estruturais e financeiros. A criação do SUS (Sistema Único de Saúde)
62238;502007194;Prática Jurídica Tributária Simulada;Prática;40;Direito Processual Tributário. Ações ajuizadas pelos contribuintes. Ações Ajuizadas pela Fazenda Pública e a respectiva defesa. Processo Administrativo Fiscal. A atividade de lançamento. Os princípios inerentes ao processo administrativo e a defesa d
47857;508070055;Depósitos Minerais Metálicos;Teórica;80;Depósitos magmáticos hipotermais: cromo, ferro, níquel, cobalto, ouro, antimônio, estanho, tungstênio, nióbio, titânio. Depósitos magmáticos hidrotermais: cobre, molibdênio, ouro, urânio, estanho, zinco, fosfato. Depósitos magmáticos epitermais: cobr
86106;106026047;Projeto Interdisciplinar - 4A;Estudos Independentes;40;Realizar atividades que integrem as disciplinas do módulo. Elaborar, gerenciar e apresentar um produto acadêmico desenvolvido sob o método científico. Promover a autonomia e o trabalho em equipe, desenvolvendo um engenheiro de processos com ações ino
50343;105002032;Projeto de Pesquisa Literária;Teórica;40;"Estudo das fases e da natureza da pesquisa literária. Preparação de um possível projeto de pesquisa na área dos estudos literários.""""67143"
84685;107006048;Estágio Supervisionado;Estágio Supervisionado;300;"Aplicação de trabalho prático individual. Elaboração de um plano de estágio e desenvolvimento de suas fases técnicas e a orientação metodológica.""""84685"
46375;400013039;Prática Real II;Prática;40;"Estágio Supervisionado.""""87631"
17359;4300079;Química Geral;Prática;40;Conceitos fundamentais em química. Ciência e química. Matéria: estrutura e tipos. Átomo: constituição e características. Interação química e geometria molecular. Funções químicas. Estequiometria: soluções, gases e reações químicas. Termoquímica. Elet
0;601001076;Projeto Interdisciplinar 4A;Teórica;40;O experimento e a integração dos conhecimentos teóricos e práticos como fonte de aprendizagem significativa e do crescimento individual e coletivo. Estudo e debate dos principais temas contemporâneos de formação geral, articulados às bases teóricas d
77322;3BD-80;Banco de Dados;Teórica;40;Introdução aos sistemas de gerência de bancos de dados. Projeto de banco de dados: conceitual, lógico e físico. Modelo conceitual de entidades e relacionamentos. Modelo de dados relacional. Dependências funcionais e normalização. Linguagens de defini
86149;106026074;Tópicos Especiais II;Teórica;40;"Disciplina de ementa aberta. O objetivo é proporcionar ao aluno contato com temas atuais e emergentes.""""86158"
62323;100091004;Patologia Veterinária;Prática;40;"Etiopatogenia das alterações macroscópicas e microscópicas dos processos infecciosos, nutricionais e metabólicos nos diferentes órgãos e sistemas das espécies de animais domésticos. Morfologia e patogenia dos achados macroscópicos de necropsia.""""62"
63489;101043029;Técnica Cirúrgica;Prática;80;Estudo da preparação e princípios básicos para o procedimento cirúrgico. Desinfecção, esterilização e anti-sepsia. Paramentação do cirurgião e da equipe. Princípios da instrumentação cirúrgica. Relacionamento entre os componentes da equipe e conhecim
17755;4345045;Ciência dos Materiais;Teórica;40;Propriedades determinantes na seleção de um material para aplicação industrial. Avaliação das propriedades mecânicas dos materiais aplicados em indústrias  (metais, vidros, polímeros, tintas, tecidos e cerâmicas). Processos de degradação dos materiai
53889;603004095;Estágio  - Àrea Biológica;Teórica;20;"Estágio supervisionado na área biológica (meio ambiente e biodiversidade, saúde ou biotecnologia e produção) para o desenvolvimento de um trabalho com tópicos ligados a área das ciências biológicas.""""62700"
63471;101043011;Genética e Biologia Molecular;Prática;20;Estudo das bases moleculares, citológicas e cromossômicas da hereditariedade. Padrões de herança monogênica e multifatorial. Expressão gênica e fenótipo. O Genoma Humano e possibilidades de estudo das doenças. Microdeleções e manifestações gênicas. A
83623;808000094;Plástica;Prática;80;"Desenvolvimento da percepção e estudo da organização bi e tridimensional da forma, subsidiando atividades de projeto e conferindo intenções plásticas ao processo criativo.""""59480"
59480;502018032;Clínica, Conservação e Manejo de Animais Selvagens;Teórica;40;Fundamentos teórico-práticos do estudo dos animais selvagens neotropicais quanto aos aspectos clínicos, nutricionais, reprodutivos, comportamentais, epidemiológicos, profiláticos e formas de diagnóstico para a concretização do conhecimento com relaçã
48352;305073002;TCC - Orientação I;Estudos Orientados;20;Realização da pesquisa. Conclusão da fundamentação teórica/revisão bibliográfica. Tratamento e análise dos dados. Articulação teoria/pesquisa. Redação final da monografia. Apresentação pública do trabalho de conclusão de curso para a banca examinador
48351;305073001;TCC - Projeto;Teórica;40;Aprovação do Trabalho de Conclusão de Curso: projeto monográfico. Produção do projeto de pesquisa contendo: introdução, justificativa (s), argumento (s), problema de pesquisa, objetivo geral e objetivos específicos, referencial teórico / revisão bibl
69615;PROGAPL-120;Programação Aplicada;Teórica;40;Conceito de Programação. Entrada e saída de dados. Variáveis. Operadores aritméticos. Expressões aritméticas. Operadores relacionais. Desvios condicionais. Operadores lógicos. Estruturas de repetição. Vetores. Algoritmos elementares. Conceito de Prog
47862;508070060;Projeto Integrador IX;Prática;40;Exercício de integração dos conteúdos das disciplinas do módulo, tendo como eixo temático o estudo das caracaterísticas dos depósitos minerais econômicos e a regulação nacional para o aproveitamento dos recursos minerais e energêticos no territorio n
0;106026067;Projeto Interdisciplinar - 6A;Estudos Independentes;40;Realizar atividades que integrem as disciplinas do módulo. Elaborar, gerenciar e apresentar um produto acadêmico desenvolvido sob o método científico. Promover a autonomia e o trabalho em equipe, desenvolvendo um engenheiro de processos com ações ino
47860;508070058;Legislação e Regulação Mineral;Teórica;80;Código de mineração do Brasil. Regulamento do Código de mineração. Tipos de concessão mineral. Requerimento de pesquisa. Etapas de pesquisa e cumprimento da legislação. Acordos com os superficiários. Legislação e controle de mineração em áreas indíge
0;NULL;NULL;NULL;NULL;NULL
0;4300079;Química Geral;Teórica;40;Ciência e Química. Matéria: comportamento de substâncias e misturas. Átomo: constituição e características. Tipos de substâncias. Ligações químicas. Estequiometria de reações e soluções. Reações químicas. Processos espontâneos e eletroquímica. Corros
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
49557;104000116;Projeto Experimental: pesquisa, planejamento e estruturação;Teórica;80;Suporte no planejamento, pesquisa e estruturação para o desenvolvimento de projeto de caráter experimental em comunicação para o mercado. Busca-se a autonomia do aluno na construção de referencial teórico consistente, com  estudo aprofundado e sistem
53407;602002031;Direito Econômico;Teórica;40;Direito Econômico: história, autonomia, conceito, objeto, princípios e fontes. Constituição Econômica e Ordem Econômica. A empresa e o Direito Econômico. Políticas Econômicas e Planejamento Econômico. Intervenção do Estado no Domínio Econômico. Repre
46380;400013054;Direito do Trabalho II;Teórica;80;Os direitos sociais na CF 1988. Fontes do Direito do Trabalho. Direito Individual do Trabalho. Contrato de Trabalho. Jornada, repouso semanal remunerado e férias. Remuneração e salário. Poder disciplinar do empregador. Rescisão do contrato de trabalh
86113;106026049;Ciência dos Materiais;Teórica;80;A estrutura cristalina dos metais: modelos e defeitos. Anisotropia. Ligações e difusão atômica. Estruturas versus propriedades: materiais metálicos, cerâmicos e poliméricos. Deformação elástica e plástica. Encruamento. Efeitos de contorno de grão. Di
68615;AMBPROG-80;Ambientes de Programação;Prática;40;"Ambientes de desenvolvimento. Principais linguagens e respectivos ambientes. Desenvolvimento WEB - Client-server. Cookies, Sessões. Wireframe. Arquitetura de informação.""""86575"
66721;100026029;Trabalho de Conclusão de Cursos;Estudos Orientados;40;"Planejamento e implementação do Trabalho Final do Curso, com análise dos resultados obtidos.""""46371"
47859;508070057;Depósitos Minerais não Metálicos;Teórica;80;Materiais de empréstimo (construção civil) ,   matérias primas de fertilizantes e minerais de aplicação industrial. Ocorrência e características dos depósitos e extração de: agregados para concreto (areia, cascalho, brita), calcário, argila vermelha,
79162;FUNDSINF-80;Fundamentos de Sistemas de Informação;Teórica;80;A importância da informação para a obtenção de vantagem competitiva. Conceitos de informação. Conceitos de Sistemas de Informações. Visão geral sobre os componentes e recursos dos Sistemas de Informação. Organização e arquitetura empresarial. A empre
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
77534;DESISWEB-120;Desenvolvimento de Sistemas Web;Teórica;40;Desenvolvimento de Sistemas Web em Java. Paradigma MVC (Model - View - Controller). Persistência em Banco de Dados Relacional. Desenvolvimento de Interfaces com Responsividade. Polimorfismo com Interfaces e Classes Abstratas. Programação Multithreadi
85667;305059016;Física Eletricidade e Magnetismo;Prática;40;Carga elétrica e Processos de Eletrização. Lei de Coulomb e Campo Elétrico. Potencial Elétrico e Diferença de Potencial.  Corrente, Resistência e Força Eletromotriz. Circuitos de Corrente Contínua ? simples e complexos. Campo Magnético e Fontes de Ca
66302;101043057;Parasitologia;Prática;40;Estudo das doenças parasitárias humanas, vetores e reservatórios (protozoários vermes e insetos). Interações parasito/hospedeiro/reservatório e vetor/hospedeiro/reservatório: ciclo biológico, transmissão, patogenia. Diagnóstico epidemiológico e labor
70843;FASCREURI-80;Farmacologia dos Sistemas Cardiovascular, Respiratório e Urinário;Teórica;80;"Ação de substâncias químicas nos sistemas cardiovascular, respiratório e urinário dos animais. Origem, propriedades físico-químicas, absorção, distribuição, mecanismos de ação, biotransformação e eliminação dos fármacos. Manutenção da saúde.""""69212"
69212;FISCREURI-80;Fisiologia dos Sistemas Cardiovascular, Respiratório e Urinário;Teórica;40;Oferecer aos alunos do curso de Medicina Veterinária e Zootecnia os conhecimentos sobre o funcionamento dos órgãos e sistemas que compõem o organismo dos animais mamíferos domésticos, capacitando-o a compreender os mecanismos das doenças e seus meios
85114;100013011;Laboratório de Aprendizagem Integrada 1B;Teórica;40;Argumentação. Técnicas de oratória. Análise crítica da mídia. Comunicação em mídias digitais. Diversidade cultural e globalização. Empatia. Etnocentrismo e hierarquias sociais. Diversidade étnico-racial, sexual e de gênero. Diversidade no mundo do tr
46385;400013059;Direito Processual do Trabalho;Teórica;80;Exame da Justiça do Trabalho ? Competência e perspectivas - Posição do Direito processual do Trabalho no universo do Direito Processual - Peculiaridades - Raciocínio jurídico processual ? Organização Judiciária do Trabalho ? Instituições do Processo 
63479;101043019;Embriologia Humana;Teórica;20;O desenvolvimento embrionário desde a fecundação ao nascimento. Anexos embrionários na gestação. Formação dos órgãos e sistemas. Folhetos embrionários. Fatores de teratogênese. Estudo dos processos de migração celular e diferenciação tecidual. A célu
71344;SEMIPRVET-120;Semiologia e Práticas Veterinárias;Teórica;80;Semiologia especial e semiotécnica aplicada aos animais domésticos direcionada a coleta do histórico clínico do paciente e interpretação dos achados utilizando-se de métodos de exploração clínica e anamnese. Treinamento das principais práticas veteri
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
69619;ALGED-80;Algoritmos e Estrutura de Dados;Teórica;40;"Projeto de algoritmos. Busca em vetores. Ordenação de vetores. Tipos Abstratos dedados. Estruturas de Dados. Pilhas. Filas. Listas encadeadas. Árvores.Eficiência e Análise de algoritmos. Técnicas de avaliação de complexidade de tempo eespaço.""""5"
57498;400057025;Topografia;Prática;40;Fundamentos - escalas e convenções topográficas. Instrumentos e métodos de levantamentos planimétricos e altimétricos. Elaboração de levantamentos topográficos. Orientação dos levantamentos topográficos. Locação. Confecção, interpretação e utilização
46387;400013061;Direito Civil VIII;Teórica;80;"Teoria Geral do Direito das Sucessões. Sucessão: legítima e testamentária. Ordem da Vocação hereditária. Herança e legado. Testamento: conteúdo e formas. Direito de acrescer. Substituições. Inventário e partilha.""""85533"
0; Aviso prévio; R.S.R.; adicionais;0;NULL
0; ato nulo e anulável; prescrição; convenções coletivas ;NULL;NULL
0; trabalho da mulher e do menor; profissões diferenciadas; contrato a prazo;0; 
0; ;NULL;NULL;NULL;NULL
0; formas de rescisão do contrato; Justiça do Trabalho:;NULL;NULL;NULL
0; previdência social;" o INSS ao alcance de todos.""";NULL;NULL;NULL
87633;800000510;Planejamento e Organização do Turismo;Teórica;80;Construir o conhecimento de Planejamento e Organização do Turismo, fornecendo o embasamento teórico sobre planejamento: conceitos, metodologia, enfoques de planejamento, componentes do planejamento turístico, processo de planejamento e gestão do turi
76163;TECCIMEDVE-120;Técnicas Cirúrgicas Em Medicina Veterinária;Teórica;80;"Estudo das operações preparatórias e intervenções cirúrgicas gerais e especiais, visando o tratamento das afecções apresentadas na Clínica Cirúrgica.""""86129"
86129;106026062;Projeto Interdisciplinar - 5B;Teórica;40;Realizar atividades que integrem as disciplinas do módulo. Elaborar, gerenciar e apresentar um produto acadêmico desenvolvido sob o método científico. Promover a autonomia e o trabalho em equipe, desenvolvendo um engenheiro de processos com ações ino
67116;100045015;Algoritimo Numérico;Prática;40;"Algoritmos numéricos. Sistemas lineares. Interpolação. Ajuste de curvas. Integração numérica. Raízes de Equações.""""67116"
49614;301076018;TCC - Orientação II;Estudos Autônomos;120;As etapas operacionais do projeto de pesquisa. A sistematização do conhecimento científico. Trabalho de campo e delimitação de categorias de análise. Análise, sistematização e interpretação de dados. Normas técnicas e padronização do trabalho acadêmi
86095;106026041;Projeto Interdisciplinar - 3A;Estudos Independentes;40;Realizar atividades que integrem as disciplinas do módulo. Elaborar, gerenciar e apresentar um produto acadêmico desenvolvido sob o método científico. Promover a autonomia e o trabalho em equipe, desenvolvendo um engenheiro de processos com ações ino
68553;OBSTPQANI-80;Obstetrícia de Pequenos Animais;Prática;40;"A Disciplina abordará fisiologia e endocrinologia da gestação; diagnóstico de gestação e afecções da gestação de origem materna e fetal; fisiologia e endocrinologia do parto e puerpério; distocias de origem materna e fetal; operações obstétricas crue"
71358;ODONVET-80;Odontologia Veterinária;Teórica;40;Proceder ao estudo do diagnóstico e tratamento das afecções de caráter odontológico nos animais domésticos, principalmente em cães e gatos, por meio de conteúdo programático baseado nos principais aspectos da odontologia animal. Para tanto, a discipl
50307;100044008;Concreto Armado;Prática;40;"Introdução ao Concreto Armado; Propriedades Mecânicas e Reológicas do Concreto e do Aço; Análise dos Esforços; Análise de Deformações; Fundamentos do concreto armado. Principais elementos estruturais. Desenhos de fôrmas. Dimensionamento nos estados l"
84538;305044038;Gestão de Recursos Materiais;Teórica;80;Visão Geral da Administração de Materiais.: previsão, curva ABC, custo de armazenagem, custo de pedido e custo total. Sistema de controle de estoques: sistema duas gavetas, sistema de máximos e mínimos, sistema das revisões periódicas. Sistema de Ges
59386;610050011;Eletrotécnica;Teórica;40;"Ensaio de transformadores em curto e vazio. Ensaio de máquina síncrona torque e rotação. Ensaio de máquina assíncrona torque rotação e escorregamento. Ensaio de máquina de corrente continua torque e rotação.""""86137"
66693;100026007;Física Mecânica;Teórica;80;"Componentes e operações com vetores. Leis de Newton e Aplicações da Segunda Lei. Trabalho e Energia. Torque e Equilíbrio de Corpos Rígidos.""""66693"
65769;306007052;Tópicos Especiais em Estética;Prática;40;"Inovações em estética, mercado atual, atualidades em equipamentos, cosméticos e técnicas avançadas. Tópicos em medicina estética. Papel do esteticista em procedimentos de medicina estética.""""65769"
87365;800000462;Economia Aplicada;Teórica;80;"Teoria Econômica; Microeconomia e Macroeconomia aplicadas à gestão de negócios;Sistema Financeiro Nacional e Internacional; Câmbio e política cambial; Análise da Conjuntura Econômica;Índices de GINI e o IDH.""""53884"
53884;603004090;Biogeografia;Teórica;40;Conceitos, história e objetivos. Distribuição geográfica atual das espécies e seus fatores determinantes. Biogeografia histórica e ecológica. Padrões biogeográficos. Grandes formações biológicas do Brasil e do mundo. Biogeografia insular e suas aplic
53408;602002032;Direito Processual Civil III;Teórica;80;"Processo de execução. Teoria geral. Princípios. Espécies. Procedimentos. Defesa do executado. Formação, suspensão e extinção do processo executivo. Procedimentos executivos especiais.""""53406"
53887;603004093;Fundamentos da Geologia e Paleontologia;Teórica;40;"O planeta Terra e sua origem. O tempo Geológico. A terra e suas transformações. Vulcanismo. Rochas e minerais. Fósseis. Importância e aplicação dos fosseis nos estudos evolutivos e paleo-ambientais.""""47861"
73706;FASNEDIRE-40;Farmacologia dos Sistemas Nervoso, Endócrino, Digestório e Reprodutor;Teórica;40;Proporcionar aos alunos os conhecimentos sobre as características e propriedades farmacológicas dos medicamentos usados no tratamento, controle, diagnóstico e prevenção das doenças dos animais. Capacitar os alunos para a tomada de decisões frente ao 
86142;106026070;Soldagem e Elementos de União;Prática;40;Classificação dos processos da soldagem. Soldagem a arco elétrico, soldagem a gás, soldagem por resistência elétrica. Processos de brasegem. Processos não convencionais de soldagem. Qualidade de solda. Soldagem de manutenção. Tecnologia da fundição. 
77943;PATANDESC-80;Patologia Animal Descritiva;Teórica;40;"Compreender os aspectos patológicos dos animais de companhia e suas consequências, bem como a sua atuação nos diferentes órgãos anatômicos e sistemas.""""77943"
86390;800000226;Tradução: Teorias Contemporâneas;Teórica;40;"Prática de tradução e versão de textos de diversos gêneros discursivos: textos jornalísticos, publicitários, turísticos e da área de cinema.Estudo lexical.""""88823"
59074;400000103;Materiais de Construção Mecânica;Prática;40;"Diagrama de Equilíbrio Fe-C, Transformações estruturais dos aços, Temperabilidade, Tratamentos Térmicos, Tratamentos de Endurecimento Superficial, Aços, Ferro Fundido, Metais e Ligas Não-ferrosas.""""59074"
46384;400013058;Direito Processual Penal I;Teórica;80;"Introdução ao Direito Processual Penal: objeto e finalidades; sistemas processuais penais e evolução histórica do direito processual penal brasileiro. Princípios de Direito Processual Penal. Aplicação e interpretação da lei processual penal. Inquérit"
0;NULL;NULL;NULL;NULL;NULL
0;NULL;NULL;NULL;NULL;NULL
0;502018027;Ecologia e Ecossistemas;Teórica;40;Origem da vida. Clima e atmosfera. Seres Heterótrofos e Autótrofos. O ciclo da matéria e o fluxo da energia. Relações ecológicas. Agricultura: recursos alimentares, questões demográficas. Água e solo. Desenvolvimento sustentável. Poluição. Desertific
76853;BIOQGERCL-120;Bioquímica Geral e Clínica;Prática;40;"Técnicas e interpretação dos ensaios em Hematologia, bioquímica clínica e análise dos fluidos corporais.""""83437"
0;NULL;NULL;NULL;NULL;NULL
